TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612753,Franz Wagner,1630532,ORL,SF,Forward,28,891,1920,596,161,101,30,9,48,0.521,0.365,41,120,115,151,0.353,0.649,162,0.379,0.401,0.269,0.365,3.1,26.3,5.9,37,0.407,5.1,15.2,18.3,1.6,0.9,8.7
1610612763,GG Jackson,1641713,MEM,PF,Big,49,1036,2224,587,210,68,30,38,71,0.602,0.327,43,167,168,172,0.389,0.709,102,0.231,0.422,0.38,0.327,2.9,22.8,3.2,30.2,0.29,4.4,17.6,10.1,1.4,3.4,12.5
1610612737,Gabe Vincent,1629216,ATL,PG,Point,45,766,1634,203,44,62,22,2,19,0.375,0.338,14,30,154,11,0.057,0.727,29,0.149,0.241,0.794,0.338,-5.7,12.4,1.1,17.1,0.093,2.1,4.4,10.2,1.4,0.2,8.6
1610612761,Garrett Temple,202066,TOR,SG,Combo,19,64,138,14,8,8,3,2,7,NA,NA,1,7,10,NA,NA,NA,NA,NA,NA,NA,NA,-14.7,16,NA,NA,0.692,1.7,12.5,15.1,2.3,3,29.2
1610612754,Garrison Mathews,1629726,IND,SG,Combo,15,196,425,78,17,10,6,3,3,0.667,0.37,2,15,46,4,0.077,0.5,2,0.038,1,0.885,0.37,6.8,14.1,1.2,17.9,0.442,1.1,8.6,7,1.5,1.3,4.6
1610612749,Gary Harris,203914,MIL,SG,Combo,45,617,1275,116,56,46,25,7,18,0.517,0.419,13,43,62,14,0.154,0.714,15,0.165,0.333,0.681,0.419,5.1,8.1,0.4,11.9,0.099,2.4,7.8,9.5,2,1.1,15.9
1610612744,Gary Payton II,1627780,GSW,SG,Combo,65,978,2087,460,230,112,57,19,56,0.687,0.302,88,142,117,183,0.524,0.738,50,0.143,0.5,0.332,0.302,6.1,18.4,3.8,27.2,0.084,9.8,16.4,17.8,2.8,1.8,13.1
1610612749,Gary Trent Jr.,1629018,MIL,SG,Wing,60,1265,2622,455,61,71,29,3,31,0.432,0.354,7,54,305,18,0.043,0.5,93,0.224,0.419,0.733,0.354,-3.8,16.3,1.3,20.8,0.108,0.6,4.8,7.7,1.1,0.2,6.6
1610612749,Giannis Antetokounmpo,203507,MIL,PF,Big,36,1039,2163,993,352,196,34,24,115,0.647,0.333,98,254,45,401,0.671,0.776,152,0.254,0.309,0.075,0.333,9.8,37.1,11.8,55.5,0.597,10.7,27.3,38.6,1.6,2.3,13.2
1610612753,Goga Bitadze,1629048,ORL,C,Big,55,825,1745,311,260,71,33,52,31,0.718,0.182,110,150,11,146,0.789,0.76,28,0.151,0.5,0.059,0.182,14.8,12.9,1.6,18.6,0.427,14.7,20.5,12.4,1.9,5.7,12.4
1610612761,Gradey Dick,1641711,TOR,SG,Wing,67,1006,2174,423,139,49,43,7,38,0.537,0.302,38,101,180,92,0.26,0.685,83,0.234,0.373,0.506,0.302,-2,18.3,1.4,22.5,0.234,4.2,11.5,6.7,2.1,0.7,9.1
1610612751,Grant Nelson,1641761,BKN,PF,Forward,4,35,71,17,6,5,1,5,4,NA,NA,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,7.4,21.6,NA,NA,1.111,3.2,17.5,22.5,1.4,13.2,23
1610612766,Grant Williams,1629684,CHA,PF,Forward,29,558,1162,196,109,49,11,13,27,0.553,0.379,31,78,103,13,0.092,0.615,25,0.177,0.52,0.73,0.379,5.1,14.2,2.4,21,0.312,6.4,15.4,11.8,1,2.1,14.4
1610612756,Grayson Allen,1628960,PHX,SG,Combo,45,1335,2762,777,135,185,62,12,72,0.518,0.356,31,104,419,78,0.127,0.705,117,0.191,0.393,0.682,0.356,1.2,24,6.5,36.9,0.243,2.5,8.9,21,2.3,0.9,9.6
1610612741,Guerschon Yabusele,1627824,CHI,C,Big,60,830,1792,305,195,53,23,13,35,0.463,0.373,47,148,158,56,0.221,0.571,39,0.154,0.308,0.625,0.373,-0.9,15.9,1.5,20.7,0.213,6.2,19.3,8.5,1.3,1.4,11.2
1610612744,Gui Santos,1630611,GSW,PF,Forward,62,1223,2573,535,234,139,54,22,90,0.648,0.361,66,168,196,141,0.367,0.716,52,0.135,0.462,0.497,0.361,5.3,18.2,4.1,27.4,0.246,5.9,15.5,16.5,2.1,1.6,17.1
1610612759,Harrison Barnes,203084,SAS,PF,Forward,68,1789,3790,697,198,137,45,11,57,0.561,0.388,57,141,330,98,0.186,0.724,100,0.189,0.4,0.625,0.388,4.5,14.9,2.1,20.9,0.211,3.5,8.2,10,1.2,0.5,9
1610612759,Harrison Ingram,1631127,SAS,SF,Wing,5,17,40,9,3,1,0,0,0,NA,NA,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,34,12.4,NA,NA,0,19.4,0,8.9,0,0,0
1610612756,Haywood Highsmith,1629312,PHX,SF,Forward,6,80,157,33,13,7,4,0,0,0.286,0.615,6,7,13,3,0.15,0.333,4,0.2,0.25,0.65,0.615,16.9,12,3.6,20.3,0.3,8.1,10,12.1,2.5,0,0
1610612740,Herbert Jones,1630529,NOP,SF,Combo,51,1484,3117,467,177,146,84,25,65,0.483,0.31,45,132,239,126,0.284,0.556,79,0.178,0.367,0.538,0.31,-6.3,15.1,2.1,22.1,0.131,3.2,9.7,13,2.7,1.6,12.2
1610612738,Hugo González,1642864,BOS,SF,Wing,67,1018,2061,266,231,39,38,21,35,0.577,0.343,59,172,108,79,0.342,0.722,44,0.19,0.318,0.468,0.343,-1.1,11.8,0.3,15.1,0.113,6.4,18.2,5,1.9,2.1,12.6
1610612740,Hunter Dickinson,1630621,NOP,C,Big,1,5,10,2,0,0,0,1,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-6,33.4,NA,NA,0,0,0,0,0,19.1,50
1610612755,Hunter Sallis,1642282,PHI,SG,Combo,7,26,57,7,1,4,0,1,5,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3.5,17.6,NA,NA,0.4,0,4.3,20.7,0,3.6,46
1610612743,Hunter Tyson,1641816,DEN,PF,Forward,21,162,333,46,36,17,2,1,5,0.368,0.212,4,32,33,11,0.212,0.455,8,0.154,0.25,0.635,0.212,-16.2,16.9,1.7,23.9,0.25,2.9,21.2,13.1,0.6,0.6,8
